Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Unused
1680264000000,1792.90000000,1812.67000000,1790.56000000,1807.08000000,28675.02140000,1680267599999,51719758.65890800,48874,15965.69660000,28789973.86313700,0
1680267600000,1807.07000000,1840.00000000,1804.73000000,1826.30000000,71045.10610000,1680271199999,129714699.57863400,100828,43350.51020000,79154263.40736200,0
1680271200000,1826.30000000,1847.28000000,1825.01000000,1836.73000000,59859.17010000,1680274799999,110002441.89736400,88988,33702.36390000,61931275.54552500,0
1680274800000,1836.74000000,1842.28000000,1824.06000000,1830.60000000,40884.29910000,1680278399999,74910268.21295200,56524,17755.30110000,32531481.76107500,0
1680278400000,1830.60000000,1834.64000000,1819.04000000,1830.33000000,21192.62150000,1680281999999,38727517.95308500,32762,11248.63670000,20556892.12471000,0
1680282000000,1830.32000000,1832.06000000,1821.76000000,1825.53000000,17507.49430000,1680285599999,31997592.03360800,23665,9161.76120000,16743913.26675900,0
1680285600000,1825.53000000,1826.37000000,1821.01000000,1822.95000000,12191.32270000,1680289199999,22234916.45371600,20223,6860.08120000,12511520.85226300,0
1680289200000,1822.96000000,1831.71000000,1818.09000000,1829.22000000,30053.18030000,1680292799999,54827842.44931200,32462,15322.50560000,27954175.10176500,0
1680292800000,1829.23000000,1829.32000000,1813.95000000,1817.70000000,23232.29920000,1680296399999,42345846.08578900,34934,11545.32730000,21044945.55662100,0
1680296400000,1817.70000000,1828.00000000,1815.20000000,1824.26000000,15725.28660000,1680299999999,28645371.18221400,26916,8681.06490000,15814853.14933800,0
1680300000000,1824.26000000,1830.03000000,1822.11000000,1826.34000000,11066.33080000,1680303599999,20215462.46399500,22035,6098.02940000,11139299.55835800,0
1680303600000,1826.35000000,1826.72000000,1821.05000000,1821.52000000,18290.47160000,1680307199999,33363816.51222400,29453,6810.72210000,12423869.78006000,0
1680307200000,1821.52000000,1827.73000000,1819.61000000,1822.85000000,11574.67720000,1680310799999,21106163.09557000,24597,6450.19120000,11761323.05475100,0
1680310800000,1822.85000000,1834.32000000,1821.20000000,1833.43000000,12189.00330000,1680314399999,22264760.47026100,25323,6618.21890000,12090414.60658400,0
1680314400000,1833.43000000,1842.83000000,1824.07000000,1829.25000000,19487.46550000,1680317999999,35727298.44137500,42117,10354.86920000,18987588.97702300,0
1680318000000,1829.26000000,1829.68000000,1823.70000000,1825.99000000,7332.35660000,1680321599999,13397411.27817300,24106,3523.61490000,6438059.76751900,0
1680321600000,1825.99000000,1829.67000000,1824.40000000,1826.92000000,7221.10980000,1680325199999,13190443.71751200,23667,4048.34580000,7395082.21345200,0
1680325200000,1826.91000000,1827.31000000,1820.19000000,1825.58000000,10417.50980000,1680328799999,18999052.97881400,26115,4528.58900000,8259329.57241500,0
1680328800000,1825.58000000,1825.64000000,1812.12000000,1823.06000000,22064.65050000,1680332399999,40140871.69372700,41252,11968.78480000,21772164.25464000,0
1680332400000,1823.07000000,1826.23000000,1818.83000000,1823.46000000,12152.50730000,1680335999999,22157162.57650500,29643,5802.49630000,10579390.04860700,0
1680336000000,1823.47000000,1828.44000000,1821.07000000,1825.26000000,15199.77620000,1680339599999,27737693.84081900,28461,7832.60790000,14294122.80039200,0
1680339600000,1825.26000000,1828.32000000,1824.48000000,1824.48000000,8162.03370000,1680343199999,14903995.17528000,23186,3848.47200000,7027698.28472200,0
1680343200000,1824.48000000,1828.66000000,1822.25000000,1826.95000000,8210.89210000,1680346799999,14989204.34459800,23890,4729.13440000,8633358.81028300,0
1680346800000,1826.94000000,1828.64000000,1822.83000000,1824.04000000,12856.26670000,1680350399999,23479311.47611700,21684,6207.71210000,11337768.32146500,0
1680350400000,1824.04000000,1827.13000000,1822.44000000,1826.68000000,10797.33350000,1680353999999,19708354.66919400,18478,5948.28940000,10857330.71258700,0
1680354000000,1826.68000000,1826.69000000,1823.53000000,1825.28000000,9347.71480000,1680357599999,17065474.28560600,20960,4073.75830000,7436955.65519400,0
